Loan Application Number,Loan Amount,Loan Duration,Interest Rate,EMI,Borrower Rating by Bank,Borrower's Duration of Employment,Home Ownership of Borrower,Annual Income of Borrower,Borrower's Verification Status,Loan Issue Date,Purpose of Loan,Debt-to-Income Ratio (A ratio calculated based on Borrower's monthly debt repayments to self-reported monthly income),Borrower Delinquency in Last Two Years,Date of Borrower's First  Loan,Number of Months Since the Borrower's Last Delinquency,The Number of Months Since the Borrower's Credit Record  was Updated,Number of Times the Borrower has Availed Loan from the Bank,Number of Negative Comments About the Borrower in Credit History,Total Credit Revolving Balance,Percentage of Credit the Borrower is Using Relative to All Available Revolving Credit,Number of Times the Borrower has Availed Loan from All Banks,Late Fees Received To Date,Last Month Payment was Received,Last Amount Received as Payment,rm_employee_id,Loan Status
30950,65888,60 months,10.97%,1431.584629,BE,7 years,Rental,339594,Verified,8/5/11,Pay Credit Card Bill,19.25237538,0,28-05-2003,,,5,0,202068,0.485625635,13,0,1/10/14,1109.504629,1684,???
24049,11152,43 months,10.92%,314.5760568,BE,3 years,Own,182048,Not Verified,4/5/11,Purchase Car,5.159716056,0,9/6/05,38,,13,0,34474,0.892822002,22,0,1/5/13,5963.406057,3867,???
38793,43872,45 months,6.46%,1100.367522,AB,3 years,Rental,721041,Not Verified,4/10/11,Pay-off Other Loans,8.105720886,0,3/2/06,,,7,0,18086,0.229122192,14,0,1/8/13,29124.40752,230,???
27884,123059,60 months,17.89%,3117.461601,EE,5 years,Rental,597839,Source Verified,22-05-2011,Pay-off Other Loans,18.90320885,0,23-02-2007,,,7,0,115711,0.855343572,8,0,1/9/15,3117.461601,142,???
38157,76870,56 months,18.75%,2069.756438,EA,2 years,Rental,372235,Source Verified,11/1/12,Others,8.336681508,0,1/7/07,,,16,0,44331,0.290459719,21,0,1/12/11,40498.80644,2874,???
32719,66064,58 months,11.82%,1500.758484,BE,4 years,Under Mortgage,497956,Not Verified,16-09-2010,Agriculture,3.63067998,0,14-09-2004,41,,10,0,52941,0.45617459,12,0,1/11/12,17187.96848,3565,???
32765,19869,36 months,11.56%,655.7704039,BE,Less than 1 year,Rental,300714,Source Verified,20-06-2010,Pay Credit Card Bill,12.8664877,0,31-03-2003,,,5,0,17498,0.904968942,7,155.5265024,1/4/13,720.2304039,2160,???
37848,32884,37 months,17.46%,1155.609208,EE,8 years,Rental,1052550,Source Verified,20-12-2010,Others,15.83816361,1,15-03-1999,10,,4,0,139038,0.991105216,20,0,1/10/12,14978.86921,3711,???
28164,274908,40 months,12.29%,8411.552757,BD,10 years and above,Under Mortgage,1296161,Not Verified,29-01-2010,Pay-off Other Loans,3.751152393,0,11/7/83,,,6,0,111971,0.40081275,20,0,1/3/13,8695.242757,1746,???
27580,93550,50 months,10.39%,2312.955078,BA,10 years and above,Under Mortgage,792286,Verified,10/9/10,Purchase Car,6.762994388,0,17-10-1998,,,15,0,9910,0.009990822,37,0,1/10/12,44189.73508,1792,???
27126,82533,45 months,11.91%,2282.897493,CD,1 year,Under Mortgage,1591837,Verified,28-07-2008,Pay-off Other Loans,17.78863636,0,15-07-1990,,,29,0,1163665,0.507042053,55,0,1/7/09,2282.897493,2276,???
29910,330198,54 months,21.00%,9502.896408,FA,10 years and above,Under Mortgage,1426050,Source Verified,24-10-2011,Start Business,12.8920817,0,30-09-1992,32,,13,0,176120,0.702022677,37,0,1/12/12,260269.8964,2978,???
34047,88075,54 months,15.59%,2279.733327,DD,3 years,Rental,654843,Verified,18-02-2011,Pay-off Other Loans,12.62283916,0,6/3/00,,,13,0,88991,0.618889286,20,0,1/3/11,2279.733327,141,???
28934,373979,59 months,14.22%,8846.526928,CB,Less than 1 year,Under Mortgage,1587925,Source Verified,23-12-2011,Pay-off Other Loans,5.025642101,0,28-11-2003,,,7,0,98545,0.224483164,26,0,1/2/14,99213.83693,3576,???
37977,71415,36 months,7.93%,2235.505804,AC,10 years and above,Own,522396,Not Verified,19-01-2008,Pay-off Other Loans,13.45582207,0,16-03-1980,0,0,25,0,118446,0.083605787,41,0,1/11/10,2253.765804,0,???
25829,52857,60 months,7.69%,1063.869427,AE,10 years and above,Under Mortgage,557836,Not Verified,3/4/11,Purchase Car,9.952958796,0,5/9/99,,,8,0,60026,0.276474749,23,0,1/9/15,1063.869427,771,???
35557,154021,42 months,16.15%,4824.558284,DE,2 years,Rental,821663,Verified,29-09-2009,Pay-off Other Loans,16.1679555,0,20-04-1999,,,12,0,143108,0.634875365,18,0,1/1/13,5399.418284,1570,???
