id,number_of_jobs,last_job_type,last_job_industry,experience_in_dbs,experience_outside_dbs,experience_in_fin,experience_in_insurance,target_achievement,overall_rating
1921,0,,,6,0,6,0,MEDIUM,???
2839,4,hr,insurance,10,7,12,5,HIGH,???
1942,0,,,3,0,3,0,MEDIUM,???
1202,0,,,10,0,10,0,MEDIUM,???
3761,0,,,5,0,5,0,MEDIUM,???
3704,5,sales,other,8,7,11,4,HIGH,???
3501,0,,,7,0,7,0,MEDIUM,???
3918,0,,,7,0,7,0,MEDIUM,???
1907,3,sales,telecom,10,7,12,5,HIGH,???
3803,0,,,7,0,7,0,MEDIUM,???
2208,0,,,9,0,9,0,MEDIUM,???
2368,0,,,9,0,9,0,MEDIUM,???
3435,1,sales,other,8,3,9,2,MEDIUM,???
1294,0,,,6,0,6,0,MEDIUM,???
2661,0,,,10,0,10,0,MEDIUM,???
1305,0,,,6,0,6,0,MEDIUM,???
3478,3,other,insurance,10,7,13,4,HIGH,???
975,0,,,8,0,8,0,MEDIUM,???
1849,4,hr,finance,10,7,13,4,MEDIUM,???
3390,0,,,6,0,6,0,MEDIUM,???
3310,1,finance,other,3,3,5,1,MEDIUM,???
2404,2,tech,telecom,8,5,10,3,MEDIUM,???
2939,0,,,6,0,6,0,MEDIUM,???
1368,4,sales,tech,10,3,11,2,HIGH,???
1855,1,tech,insurance,6,2,7,1,MEDIUM,???
2445,0,,,9,0,9,0,MEDIUM,???
3807,5,tech,other,3,7,6,4,MEDIUM,???
1598,4,other,insurance,5,7,6,6,MEDIUM,???
2917,1,tech,tech,5,4,6,2,MEDIUM,???
2704,0,,,7,0,7,0,MEDIUM,???
1857,3,tech,finance,8,5,10,3,MEDIUM,???
3141,2,other,tech,5,7,8,4,LOW,???
2544,2,tech,other,7,0,7,0,MEDIUM,???
3175,0,,,7,0,7,0,MEDIUM,???
416,3,hr,finance,7,7,9,5,MEDIUM,???
2021,0,,,6,0,6,0,MEDIUM,???
2909,0,,,5,0,5,0,MEDIUM,???
